"date","days_old","exp_day","diversity","species_N","sample_code","treatment","treatment_code","replicate","species_counted","treatment_code_species","vol_um3","cells_ul","biov_um3_ul"
"03.12.2019",1,1,"pairs",2,"TD1","Tetraselmis_Dunaliella","TD",1,"Dunaliella","TD_D",94.35694874,27.5,2594.81609
"03.12.2019",1,1,"pairs",2,"TD2","Tetraselmis_Dunaliella","TD",2,"Tetraselmis","TD_T",239.8086804,48.75,11690.67317
"03.12.2019",1,1,"pairs",2,"TD2","Tetraselmis_Dunaliella","TD",2,"Dunaliella","TD_D",89.46824246,22.5,2013.035455
"03.12.2019",1,1,"pairs",2,"TD3","Tetraselmis_Dunaliella","TD",3,"Tetraselmis","TD_T",255.60005,45,11502.00225
"03.12.2019",1,1,"pairs",2,"TD3","Tetraselmis_Dunaliella","TD",3,"Dunaliella","TD_D",95.35842939,25,2383.960735
"03.12.2019",1,1,"pairs",2,"TS1","Tetraselmis_Synechococcus","TS",1,"Tetraselmis","TS_T",223.1381441,55,12272.59792
"03.12.2019",1,1,"pairs",2,"TS1","Tetraselmis_Synechococcus","TS",1,"Synechococcus","TS_S",4.770139463,1275,6081.927816
"03.12.2019",1,1,"pairs",2,"TS2","Tetraselmis_Synechococcus","TS",2,"Tetraselmis","TS_T",270.6494294,42.5,11502.60075
"03.12.2019",1,1,"pairs",2,"TS2","Tetraselmis_Synechococcus","TS",2,"Synechococcus","TS_S",3.935017838,1000,3935.017838
"03.12.2019",1,1,"pairs",2,"TS3","Tetraselmis_Synechococcus","TS",3,"Tetraselmis","TS_T",250.6917857,50,12534.58929
"03.12.2019",1,1,"pairs",2,"TS3","Tetraselmis_Synechococcus","TS",3,"Synechococcus","TS_S",4.772046819,925,4414.143308
"03.12.2019",1,1,"pairs",2,"TTi1","Tetraselmis_Tisochrysis","TTi",1,"Tetraselmis","TTi_T",231.7548366,45,10428.96765
"03.12.2019",1,1,"pairs",2,"TTi1","Tetraselmis_Tisochrysis","TTi",1,"Tisochrysis","TTi_Ti",22.53208716,235,5295.040483
"03.12.2019",1,1,"pairs",2,"TTi2","Tetraselmis_Tisochrysis","TTi",2,"Tetraselmis","TTi_T",288.6008393,47.5,13708.53987
"03.12.2019",1,1,"pairs",2,"TTi2","Tetraselmis_Tisochrysis","TTi",2,"Tisochrysis","TTi_Ti",20.12151212,232.5,4678.251568
"03.12.2019",1,1,"pairs",2,"TTi3","Tetraselmis_Tisochrysis","TTi",3,"Tetraselmis","TTi_T",265.5246675,57.5,15267.66838
"03.12.2019",1,1,"pairs",2,"TTi3","Tetraselmis_Tisochrysis","TTi",3,"Tisochrysis","TTi_Ti",20.21556583,196.25,3967.304795
"03.12.2019",1,1,"pairs",2,"DTi1","Dunaliella_Tisochrysis","DTi",1,"Dunaliella","DTi_D",78.32343284,57.5,4503.597388
"03.12.2019",1,1,"pairs",2,"DTi1","Dunaliella_Tisochrysis","DTi",1,"Tisochrysis","DTi_Ti",27.61133001,236.25,6523.176716
"03.12.2019",1,1,"pairs",2,"DTi2","Dunaliella_Tisochrysis","DTi",2,"Dunaliella","DTi_D",102.5582493,90,9230.242436
"03.12.2019",1,1,"pairs",2,"DTi2","Dunaliella_Tisochrysis","DTi",2,"Tisochrysis","DTi_Ti",20.99845016,245,5144.620289
"03.12.2019",1,1,"pairs",2,"DTi3","Dunaliella_Tisochrysis","DTi",3,"Dunaliella","DTi_D",96.53074427,65,6274.498377
"03.12.2019",1,1,"pairs",2,"DTi3","Dunaliella_Tisochrysis","DTi",3,"Tisochrysis","DTi_Ti",25.65628119,263.75,6766.844165
"03.12.2019",1,1,"pairs",2,"ATi1","Amphidinium_Tisochrysis","ATi",1,"Amphidinium","ATi_A",353.5516553,17.5,6187.153968
"03.12.2019",1,1,"pairs",2,"ATi1","Amphidinium_Tisochrysis","ATi",1,"Tisochrysis","ATi_Ti",25.27115327,205,5180.58642
"03.12.2019",1,1,"pairs",2,"ATi2","Amphidinium_Tisochrysis","ATi",2,"Amphidinium","ATi_A",310.0570224,8.75,2712.998946
"03.12.2019",1,1,"pairs",2,"ATi2","Amphidinium_Tisochrysis","ATi",2,"Tisochrysis","ATi_Ti",21.9709936,171.25,3762.532654
