Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Asclepias tuberosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera,Elymus smithii
0,0,0.47165,4.96,0,0,0,0,0,0,10.62665,0,0,0,1.54165,1.46335,0,0
0,2.7416666666666667,0.6268333333333334,0,0,0,0,0,0,0,9.548166666666667,0,0,0,2.807388888888889,1.3527777777777779,0,0
0,0,0.74375,0,0,0,0,0,0,0,0,0,0,0,2.6051875,0,0,0
0,0,0,0,0,0,0,0,0,5.529151923076923,0,0,0,0,0,0,0,0
1.461764705882353,0,0,0,0,0.8431176470588235,0,0,0.36864705882352944,0.6235294117647059,6.652941176470588,0,1.2921764705882353,3.658823529411765,1.1107647058823529,2.6695882352941176,0,0
0,0,0,0.7888666666666667,0,1.48,0,0,0,1.5677999999999999,16.365533333333335,0,4.1378,1.3988666666666667,0.5322,0.5411333333333334,0,0
0,0.7131578947368421,0,0,0,1.8614210526315789,0,0,0,0.5719473684210526,3.561421052631579,0,1.3727894736842103,1.436842105263158,0,1.3412105263157894,0,0
0,0,0,0,0,0,0,0,0,0.30666666666666664,17.113333333333333,0,4.4399999999999995,0.7100000000000001,2.2733333333333334,2.8111333333333333,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13.015876262626263,0,0,0,0,0
0,0,0,0,0,0,8.629428571428571,0.11307142857142857,0,0,0,0,3.290714285714286,0,0,0,0,0
0,0,0,0,0,0,4.320833333333334,0.42775,0,0,0,0,3.9610833333333333,4.898583333333334,0.37775000000000003,0,0.6694166666666667,0
0,0,0,0,0,0,0,0.0604375,0,0,0,0,2.0551875,0,0,0,1.8051875,0
1.9958125,0,0,0,0,1.253125,0,0,0.5135625,0,0,0.6770625,1.7614375,0.6073125,0,0,0.8604375,0
1.5062941176470588,0,0,0,0,0,0,0,0.937764705882353,0,0,0,0.8825294117647059,0,0,0,0,0
0,0,0,0,0,0,0,0,1.244846153846154,0,19.426923076923078,0,8.342307692307692,1.3179230769230768,0,3.1243846153846153,0,0
0,0,0,0,0,0,0,0,3.2974615384615382,0,0,0,1.9500000000000002,5.861538461538462,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3.923583333333333,0,0,0,1.1194166666666667,0
0,0,0,0,0,0.7464615384615385,0,0,0,0,10.831677884615384,0,4.331180288461538,0,1.54653125,0.6953653846153847,0,0
2.88,0,0,0,0,0,0,0,0,0,0,0,5.863300000000001,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,17.847875,0,24.38125,0,0,6.964625,0,0
0,0,0,0,0,0,0,0,0,0,9.226949019607842,0,3.4961980392156864,3.100870588235294,0,2.210654901960784,0,0
0,0,0,0,0,0,0,0,0,0,5.610166666666667,0,0.7407222222222223,2.4944444444444445,0.8426111111111111,1.3768333333333334,0,0
0,0,0,0,0,0,0,0,0,0,28.833333333333332,0,4.548111111111111,0,7.8741111111111115,9.083333333333334,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.6551764705882355,0,0.21635294117647058,0,0,0
0,0,0,0,1.4268947368421052,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.27553333333333335,7.488866666666667,0,0,0,0,0,0,0,0.45886666666666664,0,0,4.226666666666667,0
8.7125,0,0,0,0.8083125,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.089769230769231,0,0,0,0,0,14.919230769230769,0,0,0,0,0,0,0
