Liatris aspera,Solidago rigida,Achillea millefolium,Monarda fistulosa,Lespedeza capitata,Dalea villosa,Dalea candida,Dalea purpurea,Amorpha canescens,Lupinus perennis,Panicum virgatum,Andropogon gerardii,Schizachyrium scoparium,Sorghastrum nutans,Poa pratensis,Koeleria micrathera
2.2035263157894733,1.3263157894736841,0,1.4438421052631578,0,1.4333157894736843,0.6552631578947368,0,0,0,0,0,0,0,0.2543684210526316,0.407
0,0,0,2.129611111111111,1.2740555555555555,0.4018333333333333,0.09905555555555555,0,0,0,0,0,0,0,0,0
0,3.6411764705882352,0,0,1.0342941176470588,1.9480588235294116,2.3901764705882353,0,0,0,0,0,0,4.009823529411765,0,0
0,0,0,0,0,1.7048823529411765,1.5657058823529413,0,0,4.31764705882353,0.6058823529411765,0,4.836294117647059,2.0058823529411764,0.34605882352941175,0
0,0,0,0,0,0,0,7.454234126984127,0,0,0,0,0,0,0,0
0,2.31085,0,1.4391500000000002,0,0.57585,0,3.90835,0,0,0,0,0,0,0,0
0,0,0,0,0,1.4909999999999999,0,2.6397692307692306,0,0,3.7051538461538462,0,0,0,0,0
0,0,0,0,1.02635,0,0,0.8421,0,4.6945,0.7958999999999999,0,3.4736,5.9281,0,0.2699
0,0,0,0,0,0,0,5.9017368421052625,0,5.094736842105263,1.293,0,0,0,2.314052631578947,0.2552631578947368
0,0,0,0,0,0,0,3.7820769230769233,0,3.4615384615384617,0,0,7.492307692307692,0,0,0.8576923076923078
0,0,0,1.0563846153846155,0,0,0,6.202538461538461,0,0,3.4038461538461537,0,0,0,0,4.293615384615385
0,0,0,0,3.275421052631579,0,0,1.580684210526316,0,0,0,0,0,0,0,0
0,0,0,0,4.479785714285714,0,0,14.885714285714286,0,0,0,0,0,15.328571428571427,0.09878571428571428,0
0.75265,3.868,0,0.7524,0,0,0,1.0866500000000001,0,3.53835,0,0,2.23765,1.6431,0,0
0.7066666666666667,0,0,0,0,0,0,17.636666666666667,0,0,0.9288666666666666,0,4.8322,0,0,0
8.895142857142856,0,0,0,0,0,0,3.0260714285714285,0,0,0,0,0,0,0.6160714285714286,0
0,2.504611111111111,0,0,0,0,0,9.778722222222221,0,6.009277777777778,3.160166666666667,0,8.525944444444445,0,0,0
0,0,0,0,0,0,0,21.939901785714284,0,0,0,0,11.549875,0,0,0
0,0,0,0,0,0,0,1.0366666666666666,0,0,0,0,0,2.5011333333333337,0,0
0,0,0,0,2.2788181818181816,1.1363636363636365,0,0,0,0,0,0,6.604545454545455,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4020202991452995
0,0,0,0,7.952375,0,0,0,0,0,0,0,0,0,0,0.6120625
0,0,0,0,0.486421052631579,0,0,0,0,0,0.6262105263157894,0,1.4377894736842105,0.7840526315789473,0.15563157894736843,1.1917368421052632
0,0,0,0,16.146153846153847,0,0,0,0,0,0,0,0,0,0.3859230769230769,1.4986923076923078
0,0,0,0,0,0,0,0,0,5.628214285714286,0,0,0,0,0.885,1.4764285714285716
0,1.4004166666666666,0,1.9018333333333333,0,0,0,0,0,0,1.8014999999999999,0,15.737250000000001,0,0,0.32358333333333333
0,0,0,0,0,0,0,0,0,0,12.691,0,0,0,0,2.3846153846153846
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20357142857142857,4.660714285714286
0,0,0,0,7.541468653250774,0,0,0,0,0,0,0,0,0,0,0
5.3198125,0,0,0,1.3489375,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.1146076923076924,0,0,0,0,2.586453846153846,0,0,9.292588461538463,0,0.5973653846153846,0
0,0,0,0,7.960500000000001,0,0,0,0,0,17.2733,0,0,0,0.2932,0
0,0,0,0,3.6805833333333333,0,0,0,0,0,0,0,6.398583333333334,3.47775,0.16941666666666666,0
0,0,0,0,5.86525,0,0,0,0,0,0,0,0,3.5666666666666664,0.15833333333333333,0
0,0,0,0,8.92411111111111,0,0,0,0,0,0,0,14.390777777777778,0,0,0
10.156673202614378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5655333333333333,5.685533333333334,0,2.5255333333333336,0,0,0,0,0,3.1199999999999997,0,0,0,0,0,0
3.5833333333333335,0,0,0,0,0,0,0,0,0,1.0685555555555557,0,0,0,0,0
0.7246111111111111,0,0,0,0,0,0,0,0,0,8.04038888888889,0,0,0,0.6941666666666666,0
0,0,0,0,0,0,0,0,0,8.429652777777779,0,0,0,0,0,0
0,12.3533,0,24.6733,0,0,0,0,0,11.629999999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.4699999999999998,9.076666666666666,0,0,0,3.1111333333333335,0
0,0,0,0,0,0,0,0,0,9.700909090909091,0,0,16.442,0,3.3613636363636363,0
0,0,0,0,0,0,0,0,0,6.525727272727273,0,0,0,12.063636363636363,1.5424545454545453,0
0,0,0,0,0,0,0,0,0,11.214625,0,0,15.208375,0,0,0
0,7.94761553030303,0,2.868301136363636,0,0,0,0,0,0,0,0,0,0,0,0
